attendance_id,member_id,check_in_time,check_out_time,duration_minutes,workout_type,coach_id,notes
133,784,2025-03-19 18:30:00,2025-03-19 19:52:00,82,Strength,29,
134,31,2025-02-24 21:45:00,2025-02-24 22:27:00,42,HIIT,24,
135,1083,2023-10-05 16:00:00,2023-10-05 17:02:00,62,Yoga,24,Regular visit
136,817,2025-01-13 10:15:00,2025-01-13 12:00:00,105,Group Class,27,Brought guest
137,557,2022-03-25 06:15:00,2022-03-25 07:46:00,91,Yoga,,
138,1053,2024-06-08 18:45:00,2024-06-08 19:23:00,38,Cardio,3,Post-holiday return
139,1032,2023-02-18 08:00:00,2023-02-18 09:55:00,115,Yoga,26,Competed this week
140,686,2022-02-22 07:00:00,2022-02-22 08:18:00,78,Cycling,1,Competed this week
141,572,2022-06-14 15:00:00,2022-06-14 17:19:00,139,Personal Training,1,Came with friend
142,836,2022-12-29 12:45:00,2022-12-29 14:37:00,112,Swimming,20,
143,104,2024-01-25 13:30:00,2024-01-25 14:34:00,64,Cardio,28,Came with friend
144,903,2024-06-25 15:45:00,2024-06-25 16:35:00,50,Cardio,22,Came with friend
145,287,2024-04-05 19:15:00,2024-04-05 21:01:00,106,HIIT,11,
146,1138,2022-07-08 21:45:00,2022-07-09 00:13:00,148,Swimming,29,
147,330,2025-03-03 08:30:00,2025-03-03 09:02:00,32,Swimming,29,Brought guest
148,1093,2023-06-23 08:15:00,2023-06-23 09:10:00,55,Yoga,14,
149,183,2022-09-29 16:30:00,2022-09-29 18:31:00,121,HIIT,6,First visit
150,822,2022-08-11 20:00:00,2022-08-11 21:29:00,89,Cardio,6,
151,209,2022-06-10 11:00:00,2022-06-10 12:18:00,78,Strength,7,Post-holiday return
152,488,2024-11-17 16:15:00,2024-11-17 17:44:00,89,Boxing,17,Competed this week
153,707,2024-02-10 09:15:00,2024-02-10 10:12:00,57,Boxing,2,
154,1117,2023-08-31 15:30:00,2023-08-31 17:15:00,105,Cardio,23,
155,1186,2023-10-24 07:15:00,2023-10-24 09:35:00,140,Swimming,9,Brought guest
156,89,2022-07-13 19:30:00,2022-07-13 20:36:00,66,Cardio,7,Came with friend
157,420,2023-05-28 09:45:00,2023-05-28 11:15:00,90,Cycling,3,
158,949,2024-10-20 11:15:00,2024-10-20 11:54:00,39,Cardio,26,
159,189,2024-10-03 11:00:00,2024-10-03 12:50:00,110,Yoga,8,Brought guest
160,860,2022-12-18 16:45:00,2022-12-18 18:55:00,130,Stretching,14,
161,873,2023-04-20 13:00:00,2023-04-20 15:18:00,138,Cycling,5,Brought guest
162,653,2024-04-16 06:30:00,2024-04-16 07:29:00,59,Stretching,24,Came with friend
163,47,2024-10-06 19:45:00,2024-10-06 21:42:00,117,Strength,14,Came with friend
164,126,2024-04-04 21:15:00,2024-04-04 23:40:00,145,Swimming,16,
165,32,2024-01-18 06:45:00,2024-01-18 08:24:00,99,HIIT,2,
166,351,2023-01-05 13:30:00,2023-01-05 14:41:00,71,HIIT,2,Post-holiday return
167,750,2022-01-31 16:45:00,2022-01-31 19:14:00,149,Strength,21,Regular visit
168,830,2025-03-12 10:00:00,2025-03-12 11:36:00,96,HIIT,2,Competed this week
169,285,2023-11-02 18:45:00,2023-11-02 20:51:00,126,Stretching,30,
170,1142,2024-12-30 14:15:00,2024-12-30 15:40:00,85,Stretching,19,Brought guest
171,592,2025-01-24 06:15:00,2025-01-24 07:01:00,46,Cardio,27,First visit
172,70,2023-04-16 19:30:00,2023-04-16 21:04:00,94,Group Class,20,
173,611,2023-11-23 08:00:00,2023-11-23 09:06:00,66,Personal Training,14,
174,1118,2024-11-05 20:00:00,2024-11-05 21:58:00,118,Boxing,2,First visit
175,367,2023-04-27 18:45:00,2023-04-27 20:04:00,79,Boxing,6,Brought guest
176,383,2022-02-23 20:30:00,2022-02-23 21:48:00,78,Strength,30,Competed this week
177,131,2024-08-02 21:45:00,2024-08-02 23:04:00,79,Cycling,4,Competed this week
178,1177,2024-06-12 21:15:00,2024-06-12 23:32:00,137,HIIT,10,Brought guest
179,1182,2023-02-06 21:00:00,2023-02-06 23:11:00,131,Cycling,10,
180,1074,2022-01-02 18:15:00,2022-01-02 20:12:00,117,Yoga,11,
181,552,2022-03-03 17:45:00,2022-03-03 19:03:00,78,Stretching,10,
182,936,2025-03-11 07:00:00,2025-03-11 08:56:00,116,Strength,5,Regular visit
183,1110,2022-12-27 16:30:00,2022-12-27 17:34:00,64,Group Class,5,Brought guest
184,806,2024-08-01 18:15:00,2024-08-01 19:02:00,47,Personal Training,26,Competed this week
185,603,2023-01-16 13:15:00,2023-01-16 15:12:00,117,Cycling,23,Competed this week
186,552,2024-03-12 13:15:00,2024-03-12 14:54:00,99,Stretching,29,
187,697,2024-04-09 11:30:00,2024-04-09 12:10:00,40,Personal Training,5,Brought guest
188,692,2024-09-16 11:30:00,2024-09-16 12:49:00,79,HIIT,30,Competed this week
189,352,2024-04-06 13:15:00,2024-04-06 14:28:00,73,Cycling,19,
190,758,2022-07-29 13:00:00,2022-07-29 14:41:00,101,Swimming,11,First visit
191,53,2024-09-29 14:45:00,2024-09-29 17:03:00,138,Cycling,10,
192,657,2024-09-25 15:30:00,2024-09-25 16:28:00,58,Cardio,6,Regular visit
193,246,2024-11-15 08:00:00,2024-11-15 10:26:00,146,Boxing,19,Came with friend
194,338,2022-04-07 12:30:00,2022-04-07 14:14:00,104,Yoga,8,
195,177,2024-01-16 12:45:00,2024-01-16 13:54:00,69,Strength,10,Regular visit
196,930,2022-08-09 16:30:00,2022-08-09 17:25:00,55,Strength,6,
197,750,2023-03-16 19:45:00,2023-03-16 21:48:00,123,Cycling,3,
198,873,2024-07-05 16:00:00,2024-07-05 16:32:00,32,Stretching,8,
199,224,2023-08-04 08:00:00,2023-08-04 10:09:00,129,Personal Training,5,Came with friend
200,785,2024-12-19 09:45:00,2024-12-19 11:26:00,101,Cardio,19,
201,979,2022-01-14 14:30:00,2022-01-14 15:16:00,46,Yoga,27,Brought guest
202,1079,2025-02-16 17:45:00,2025-02-16 18:35:00,50,HIIT,29,First visit
203,1142,2024-05-26 19:00:00,2024-05-26 20:11:00,71,Stretching,16,Post-holiday return
204,922,2025-01-08 20:30:00,2025-01-08 21:38:00,68,HIIT,4,Came with friend
205,692,2024-11-10 16:30:00,2024-11-10 18:09:00,99,Personal Training,23,Competed this week
206,865,2024-01-15 16:30:00,2024-01-15 17:22:00,52,Cycling,4,Regular visit
207,244,2022-06-19 19:30:00,2022-06-19 20:03:00,33,HIIT,29,
208,81,2022-03-29 10:30:00,2022-03-29 11:47:00,77,Yoga,18,
209,476,2022-05-29 13:15:00,2022-05-29 15:07:00,112,Strength,25,First visit
210,650,2022-05-22 12:00:00,2022-05-22 13:11:00,71,Personal Training,15,
211,1069,2023-02-22 19:15:00,2023-02-22 21:12:00,117,Strength,9,Regular visit
212,583,2024-11-30 18:45:00,2024-11-30 20:30:00,105,Stretching,22,Came with friend
213,296,2024-10-20 13:45:00,2024-10-20 15:12:00,87,Boxing,23,Regular visit
214,847,2022-11-03 06:15:00,2022-11-03 07:31:00,76,Cycling,23,
215,756,2023-08-13 12:00:00,2023-08-13 13:37:00,97,Yoga,25,
216,1113,2022-08-05 10:15:00,2022-08-05 12:32:00,137,Strength,4,
217,294,2022-01-15 15:00:00,2022-01-15 15:37:00,37,Swimming,23,
218,185,2024-11-30 13:45:00,2024-11-30 14:48:00,63,Boxing,5,
219,1133,2024-08-06 17:00:00,2024-08-06 18:38:00,98,HIIT,24,Came with friend
220,828,2024-11-28 08:45:00,2024-11-28 09:37:00,52,HIIT,28,First visit
221,984,2024-08-08 16:30:00,2024-08-08 18:35:00,125,Personal Training,17,
222,545,2024-09-17 10:45:00,2024-09-17 11:34:00,49,Stretching,30,
223,667,2022-10-19 08:45:00,2022-10-19 10:03:00,78,Cycling,7,
224,804,2022-04-19 11:45:00,2022-04-19 12:30:00,45,Boxing,5,
225,937,2023-03-17 12:45:00,2023-03-17 14:55:00,130,Yoga,29,Competed this week
226,1194,2023-01-17 06:30:00,2023-01-17 07:23:00,53,HIIT,4,Competed this week
227,1161,2023-03-15 19:15:00,2023-03-15 19:57:00,42,Swimming,25,First visit
228,1199,2022-06-04 15:15:00,2022-06-04 16:55:00,100,Cycling,4,
229,342,2023-10-28 17:15:00,2023-10-28 19:26:00,131,Stretching,27,Brought guest
230,417,2023-10-18 15:30:00,2023-10-18 16:53:00,83,Strength,15,
231,949,2024-10-06 13:15:00,2024-10-06 15:28:00,133,Swimming,9,
232,41,2025-03-15 16:30:00,2025-03-15 18:50:00,140,Group Class,18,Came with friend
233,239,2023-01-05 20:45:00,2023-01-05 21:15:00,30,HIIT,18,
234,902,2022-05-24 11:00:00,2022-05-24 12:12:00,72,Yoga,21,Competed this week
235,960,2024-12-15 21:00:00,2024-12-15 21:57:00,57,Boxing,22,First visit
236,284,2025-02-17 13:15:00,2025-02-17 14:04:00,49,Cardio,25,
237,202,2022-10-03 17:45:00,2022-10-03 19:48:00,123,Cardio,17,
238,355,2022-03-19 07:30:00,2022-03-19 09:37:00,127,Cycling,15,Competed this week
239,954,2024-11-28 20:30:00,2024-11-28 22:27:00,117,Yoga,22,First visit
240,1054,2024-01-02 11:15:00,2024-01-02 13:06:00,111,Cycling,12,
241,83,2023-02-18 06:30:00,2023-02-18 07:38:00,68,Yoga,29,Post-holiday return
242,168,2025-03-18 16:00:00,2025-03-18 17:28:00,88,Strength,11,
243,431,2025-03-14 08:00:00,2025-03-14 10:09:00,129,HIIT,20,Competed this week
244,343,2023-12-15 06:00:00,2023-12-15 07:08:00,68,Yoga,15,Regular visit
245,1048,2023-01-30 07:15:00,2023-01-30 09:41:00,146,Cardio,18,Post-holiday return
246,963,2022-06-19 12:45:00,2022-06-19 13:26:00,41,Stretching,30,
247,298,2024-03-25 07:15:00,2024-03-25 09:18:00,123,HIIT,3,
248,323,2022-08-30 20:45:00,2022-08-30 22:14:00,89,HIIT,1,
249,183,2022-08-26 09:45:00,2022-08-26 11:06:00,81,Strength,4,
250,86,2022-09-05 07:45:00,2022-09-05 08:32:00,47,Personal Training,21,Brought guest
251,897,2023-05-25 12:15:00,2023-05-25 12:49:00,34,Group Class,18,
252,884,2024-02-18 16:15:00,2024-02-18 17:53:00,98,Cardio,21,
253,933,2023-09-10 09:15:00,2023-09-10 11:22:00,127,Group Class,5,
254,185,2023-08-06 06:45:00,2023-08-06 08:35:00,110,Cycling,4,First visit
255,18,2025-03-26 16:15:00,2025-03-26 17:04:00,49,Stretching,9,Post-holiday return
256,264,2022-02-05 12:30:00,2022-02-05 13:44:00,74,Swimming,26,
257,3,2023-03-16 17:15:00,2023-03-16 19:24:00,129,Stretching,15,
258,200,2023-04-14 20:00:00,2023-04-14 20:48:00,48,Group Class,6,Post-holiday return
259,736,2025-01-30 16:30:00,2025-01-30 17:49:00,79,Group Class,24,
260,435,2022-02-25 14:00:00,2022-02-25 16:23:00,143,HIIT,,
261,987,2022-04-21 19:00:00,2022-04-21 20:16:00,76,Stretching,5,Came with friend
262,473,2025-02-15 21:30:00,2025-02-15 22:07:00,37,HIIT,19,Competed this week
263,126,2024-06-26 08:45:00,2024-06-26 10:09:00,84,Stretching,,Post-holiday return
264,468,2022-09-24 10:30:00,2022-09-24 12:07:00,97,Strength,10,First visit
265,535,2022-11-21 06:15:00,2022-11-21 08:14:00,119,Group Class,1,
266,121,2022-09-13 06:30:00,2022-09-13 08:56:00,146,Swimming,30,Came with friend
267,1156,2024-07-13 17:45:00,2024-07-13 20:09:00,144,Group Class,19,
268,760,2024-06-25 17:30:00,2024-06-25 18:36:00,66,Swimming,26,
269,505,2023-05-30 21:00:00,2023-05-30 21:47:00,47,Group Class,14,Post-holiday return
270,6,2022-08-15 07:00:00,2022-08-15 09:08:00,128,Strength,25,Brought guest
271,252,2022-03-21 12:00:00,2022-03-21 14:13:00,133,Swimming,17,
272,206,2024-07-09 18:30:00,2024-07-09 20:37:00,127,Strength,15,
273,868,2024-11-23 07:00:00,2024-11-23 08:36:00,96,Strength,25,
274,751,2024-07-06 09:15:00,2024-07-06 11:00:00,105,Cardio,27,
275,702,2022-05-05 20:00:00,2022-05-05 20:55:00,55,Cycling,1,Post-holiday return
276,928,2022-07-28 13:00:00,2022-07-28 14:29:00,89,Yoga,10,
277,98,2023-08-13 17:30:00,2023-08-13 19:02:00,92,Group Class,6,Post-holiday return
278,359,2022-08-22 12:00:00,2022-08-22 12:32:00,32,Stretching,13,
279,715,2024-12-24 17:45:00,2024-12-24 19:09:00,84,Swimming,19,Regular visit
280,1017,2022-03-02 12:00:00,2022-03-02 13:41:00,101,Cardio,10,
281,411,2024-04-04 11:45:00,2024-04-04 14:13:00,148,Group Class,26,Post-holiday return
282,807,2024-06-13 10:00:00,2024-06-13 11:15:00,75,Stretching,2,Brought guest
283,493,2022-10-11 21:00:00,2022-10-11 21:34:00,34,Cardio,8,Post-holiday return
284,850,2024-05-21 09:30:00,2024-05-21 10:42:00,72,Stretching,,
285,239,2022-04-14 20:45:00,2022-04-14 22:40:00,115,Boxing,3,Regular visit
286,77,2022-02-10 14:15:00,2022-02-10 15:54:00,99,Cycling,2,Competed this week
287,553,2025-03-21 06:30:00,2025-03-21 07:31:00,61,Strength,10,
288,87,2023-06-08 07:30:00,2023-06-08 09:22:00,112,Stretching,26,Came with friend
289,809,2024-12-19 21:15:00,2024-12-19 23:07:00,112,Strength,6,Came with friend
290,900,2022-09-04 19:45:00,2022-09-04 21:32:00,107,Cycling,23,Regular visit
291,210,2024-04-21 18:00:00,2024-04-21 18:49:00,49,Yoga,15,Regular visit
292,101,2024-09-20 21:30:00,2024-09-20 22:31:00,61,Yoga,26,
293,661,2024-06-13 11:15:00,2024-06-13 13:19:00,124,Cycling,21,Competed this week
294,593,2025-03-10 09:45:00,2025-03-10 11:58:00,133,Cardio,2,Regular visit
295,339,2024-06-01 10:00:00,2024-06-01 10:57:00,57,Boxing,1,Brought guest
296,944,2025-01-12 11:00:00,2025-01-12 11:41:00,41,Swimming,1,
297,57,2023-06-16 09:00:00,2023-06-16 10:00:00,60,Personal Training,21,Competed this week
298,1171,2024-11-16 20:15:00,2024-11-16 22:39:00,144,Strength,2,Came with friend
299,46,2025-01-05 15:00:00,2025-01-05 17:14:00,134,Strength,17,Post-holiday return
300,533,2023-09-15 10:15:00,2023-09-15 12:22:00,127,Strength,14,First visit
301,1069,2024-11-16 13:45:00,2024-11-16 15:19:00,94,Personal Training,14,
302,1105,2022-12-20 07:00:00,2022-12-20 08:03:00,63,Cycling,1,Post-holiday return
303,972,2023-10-18 21:00:00,2023-10-18 23:16:00,136,HIIT,26,
304,779,2025-02-27 08:30:00,2025-02-27 10:16:00,106,Swimming,2,
305,173,2022-11-20 21:30:00,2022-11-20 23:41:00,131,HIIT,19,
306,868,2025-02-20 10:45:00,2025-02-20 12:47:00,122,Swimming,18,
307,978,2022-04-13 14:00:00,2022-04-13 15:45:00,105,Personal Training,7,
308,530,2022-07-01 19:00:00,2022-07-01 20:15:00,75,Swimming,1,Came with friend
309,1131,2023-05-24 11:45:00,2023-05-24 12:51:00,66,Cycling,17,
310,683,2024-02-12 17:00:00,2024-02-12 19:09:00,129,Boxing,18,
311,816,2023-01-08 15:00:00,2023-01-08 17:23:00,143,Stretching,29,Post-holiday return
312,580,2024-02-10 18:15:00,2024-02-10 20:17:00,122,Group Class,29,Competed this week
313,880,2022-02-22 14:45:00,2022-02-22 16:20:00,95,Group Class,4,
314,910,2022-01-24 10:30:00,2022-01-24 11:13:00,43,Swimming,4,
315,729,2023-05-13 19:30:00,2023-05-13 21:09:00,99,Cycling,4,
316,1030,2025-03-21 13:30:00,2025-03-21 15:08:00,98,Swimming,17,Brought guest
317,467,2022-03-26 19:15:00,2022-03-26 20:18:00,63,Swimming,15,
318,1080,2024-06-30 08:45:00,2024-06-30 09:17:00,32,Stretching,26,
319,183,2023-09-07 08:15:00,2023-09-07 10:31:00,136,Strength,18,
320,733,2022-12-01 12:45:00,2022-12-01 13:28:00,43,Yoga,6,Came with friend
321,835,2022-01-01 16:15:00,2022-01-01 17:16:00,61,Cardio,29,Regular visit
322,658,2025-02-13 09:45:00,2025-02-13 10:57:00,72,Cardio,29,
323,738,2023-07-25 15:45:00,2023-07-25 16:33:00,48,Group Class,3,Competed this week
324,200,2024-05-28 16:00:00,2024-05-28 18:21:00,141,Yoga,22,Regular visit
325,561,2022-02-27 19:45:00,2022-02-27 22:03:00,138,Strength,15,Came with friend
326,134,2024-11-22 10:30:00,2024-11-22 12:16:00,106,Cycling,18,Brought guest
327,86,2025-01-24 06:45:00,2025-01-24 08:14:00,89,Cycling,4,
